19	19	19	40
23	44	23	65
19	19	19	40
19	19	19	40
23	44	23	65
19	19	19	40
19	19	19	40
23	44	23	65
31	81	31	14
23	44	23	65
19	19	19	40
31	81	31	14
19	19	19	40
23	44	23	65
19	19	19	40
23	44	23	65
31	81	31	14
19	19	19	40
67	4	67	25
31	81	31	14
19	19	19	40
23	44	23	65
23	44	23	65
19	19	19	40
83	33	83	54
67	4	67	25
31	81	31	14
19	19	19	40
23	44	23	65
19	19	19	40
23	44	23	65
31	81	31	14
113	68	24	1
19	19	19	40
83	33	83	54
19	19	19	40
23	44	23	65
31	81	31	14
23	44	23	65
19	19	19	40
107	61	18	82
31	81	31	14
107	61	18	82
137	8	48	29
19	19	19	40
23	44	23	65
23	44	23	65
19	19	19	40
67	4	67	25
157	28	68	49
31	81	31	14
19	19	19	40
127	84	38	17
31	81	31	14
83	33	83	54
23	44	23	65
127	84	38	17
19	19	19	40
23	44	23	65
19	19	19	40
31	81	31	14
19	19	19	40
23	44	23	65
199	52	21	73
23	44	23	65
193	49	15	70
19	19	19	40
67	4	67	25
19	19	19	40
173	37	84	58
23	44	23	65
19	19	19	40
31	81	31	14
23	44	23	65
67	4	67	25
137	8	48	29
113	68	24	1
19	19	19	40
31	81	31	14
239	75	61	8
19	19	19	40
23	44	23	65
107	61	18	82
23	44	23	65
107	61	18	82
19	19	19	40
31	81	31	14
83	33	83	54
19	19	19	40
251	82	73	15
173	37	84	58
31	81	31	14
23	44	23	65
23	44	23	65
19	19	19	40
67	4	67	25
157	28	68	49
277	9	10	30
19	19	19	40
229	70	51	3
137	8	48	29
31	81	31	14
83	33	83	54
23	44	23	65
19	19	19	40
